State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Year_Built,Nearby_Schools,Nearby_Hospitals,Furnished_Status,Parking_Space,Floor,Total_Floors,Facing,Owner_Type,Availability_Status,Security,Amenities,Public_Transport_Accessibility,Price_per_SqFt,Age_of_Property,Future_Price_5Y,Good_Investment
Delhi,Delhi,T Nagar,Independent House,3,3471,260.3741556514887,1997,2,0,Semi-Furnished,2,17,21,East,Third+,Ready to move,Yes,"Gym, Pool",Average,7501.416181258678,28,382.5750573718259,1
Gujarat,Ahmedabad,Andheri,Apartment,4,2246,203.4652484589877,2017,6,1,Unfurnished,1,17,22,West,Second,Ready to move,Yes,Luxury,Poor,9059.004828984314,8,298.9572022138787,1
Tamil Nadu,Mumbai,T Nagar,Penthouse,3,2709,451.3629226705462,2003,3,5,Semi-Furnished,0,13,6,East,Second,Ready to move,Yes,Basic,Good,16661.606595442827,22,663.200215106341,1
Gujarat,Delhi,T Nagar,Villa,3,2959,137.1024710809104,2012,0,3,Semi-Furnished,2,2,22,East,Second,Ready to move,No,"Gym, Pool, Park",Poor,4633.405578942562,13,201.44851015784175,1
Gujarat,Ahmedabad,Connaught Place,Villa,1,3120,157.16907210555289,2006,7,2,Furnished,0,9,21,North,Second,Under Construction,No,"Gym, Pool, Park",Poor,5037.470259793362,19,230.93293044929263,0
Karnataka,Delhi,Connaught Place,Independent House,1,461,78.75718720955211,2017,3,3,Semi-Furnished,3,22,25,South,Third+,Ready to move,No,Luxury,Excellent,17083.988548709785,8,115.72014641678881,0
Tamil Nadu,Delhi,T Nagar,Villa,1,1990,384.3771658804448,2015,5,0,Furnished,2,12,17,North,Second,Ready to move,Yes,Basic,Excellent,19315.435471379136,10,564.7761619089488,0
Tamil Nadu,Mumbai,Bandra,Independent House,4,1846,305.8636545948096,2018,6,1,Semi-Furnished,0,21,15,East,First,Ready to move,Yes,Basic,Excellent,16568.99537349998,7,449.4140553688112,0
Tamil Nadu,Mumbai,Whitefield,Apartment,3,1819,312.35176124215917,2010,7,3,Unfurnished,2,11,10,South,First,Ready to move,Yes,Luxury,Average,17171.61963948099,15,458.9472126310347,1
Gujarat,Pune,Connaught Place,Apartment,3,2419,124.86580688934254,1998,9,1,Unfurnished,2,8,3,South,Second,Ready to move,Yes,"Gym, Pool, Park",Good,5161.877093399857,27,183.46883589479793,1
Delhi,Bangalore,T Nagar,Villa,1,2478,332.56082678100023,1995,1,3,Semi-Furnished,3,9,7,North,Third+,Ready to move,No,"Gym, Pool",Excellent,13420.533768401947,30,488.6409600331452,0
Tamil Nadu,Bangalore,Andheri,Villa,4,3396,387.4200546784947,2021,8,4,Semi-Furnished,1,18,29,North,First,Ready to move,Yes,Luxury,Average,11408.128818565805,4,569.2471638545037,1
Telangana,Pune,Bandra,Penthouse,4,3249,191.78649474833085,2007,9,0,Semi-Furnished,0,15,25,West,First,Ready to move,Yes,Basic,Poor,5902.939204319202,18,281.79728148477835,1
Gujarat,Pune,Koramangala,Penthouse,2,1592,404.6466291016219,2020,2,0,Unfurnished,2,20,2,South,First,Ready to move,Yes,Basic,Good,25417.501827991324,5,594.5586533214893,1
Karnataka,Hyderabad,T Nagar,Villa,4,2713,187.41948249537006,2002,0,7,Furnished,3,24,13,East,Second,Ready to move,Yes,"Gym, Pool, Park",Poor,6908.2006080121655,23,275.38070776977344,1
Delhi,Ahmedabad,T Nagar,Villa,2,2755,383.90646152445805,2000,1,2,Furnished,3,2,27,West,First,Under Construction,No,Luxury,Excellent,13934.898784916808,25,564.0845427828253,0
Telangana,Delhi,Whitefield,Apartment,2,2906,36.19045157970511,2023,7,0,Semi-Furnished,1,11,29,West,Third+,Ready to move,Yes,Luxury,Good,1245.3699786546838,2,53.17564661813165,1
Telangana,Pune,Bandra,Villa,2,733,284.55900870735326,2002,9,7,Unfurnished,1,7,14,West,Third+,Ready to move,Yes,Luxury,Average,38821.14716334969,23,418.11054100009,1
Karnataka,Chennai,Connaught Place,Penthouse,4,2962,485.3727491071456,2013,5,2,Furnished,3,24,4,West,Third+,Under Construction,No,Basic,Good,16386.655945548468,12,713.1718079767314,0
Delhi,Bangalore,Connaught Place,Apartment,4,2888,490.99740832754753,2018,0,7,Semi-Furnished,3,14,8,North,First,Under Construction,Yes,"Gym, Pool",Good,17001.2953022004,7,721.4362776917,0
Gujarat,Pune,Connaught Place,Independent House,2,3120,155.2412376040355,2018,8,7,Unfurnished,0,10,5,South,First,Ready to move,No,Luxury,Good,4975.680692437035,7,228.1003090887894,1
Maharashtra,Chennai,Koramangala,Penthouse,3,2838,231.87156371857063,2006,6,0,Unfurnished,0,22,12,West,Third+,Ready to move,Yes,"Gym, Pool",Excellent,8170.245374156822,19,340.69539878321615,1
Delhi,Chennai,Bandra,Penthouse,3,2195,50.229395833583865,1995,9,6,Furnished,3,12,27,South,First,Under Construction,Yes,Basic,Poor,2288.355163261224,30,73.80346157898575,1
Karnataka,Chennai,Bandra,Apartment,4,3382,439.20382765020787,1998,2,3,Unfurnished,3,5,24,East,Third+,Ready to move,Yes,"Gym, Pool",Poor,12986.511757841747,27,645.3345154044788,1
Telangana,Hyderabad,Connaught Place,Independent House,2,3007,292.91463350730277,2017,6,7,Semi-Furnished,1,12,12,South,Second,Ready to move,Yes,"Gym, Pool",Excellent,9741.091902470993,8,430.38769511786217,1
Gujarat,Hyderabad,Connaught Place,Penthouse,3,653,204.84832589144818,2007,5,7,Semi-Furnished,0,10,11,North,Second,Ready to move,Yes,"Gym, Pool",Excellent,31370.340871584714,18,300.9893967177813,1
